time,depth1,depth2,depth3,depth4,depth5,depth6,depth7,depth8
01.01.2022 14:40:00,16.16634945,16.16634945,18.19062065,17.10252699,16.28693012,15.8545003,15.5475152,15.26428558
01.01.2022 14:50:00,16.02369639,16.02369639,18.15823386,17.10952306,16.29276078,15.85615393,15.54779317,15.26431629
01.01.2022 15:00:00,15.88591148,15.88591148,18.12449803,17.11594968,16.29858497,15.85785422,15.54808633,15.26434956
01.01.2022 15:10:00,15.7532882,15.7532882,18.08948622,17.12179752,16.30439496,15.85960036,15.54839504,15.26438552
01.01.2022 15:20:00,15.62611016,15.62611016,18.05327417,17.12705846,16.310183,15.86139147,15.54871966,15.26442432
01.01.2022 15:30:00,15.50465054,15.50465054,18.01594014,17.13172557,16.31594138,15.86322655,15.54906053,15.2644661
01.01.2022 15:40:00,15.38917155,15.38917155,17.97756474,17.13579317,16.32166239,15.86510451,15.54941796,15.26451103
01.01.2022 15:50:00,15.27992395,15.27992395,17.93823081,17.13925679,16.32733838,15.86702418,15.54979226,15.26455924
01.01.2022 16:00:00,15.17714656,15.17714656,17.89802323,17.14211322,16.33296176,15.8689843,15.55018369,15.2646109
01.01.2022 16:10:00,15.08106583,15.08106583,17.85702873,17.14436049,16.33852502,15.87098353,15.55059252,15.26466616
01.01.2022 16:20:00,14.99189535,14.99189535,17.81533578,17.14599788,16.34402074,15.87302042,15.55101899,15.26472518
01.01.2022 16:30:00,14.90983549,14.90983549,17.77303435,17.14702595,16.34944163,15.87509347,15.5514633,15.26478811
01.01.2022 16:40:00,14.83507302,14.83507302,17.73021578,17.1474465,16.35478052,15.87720109,15.55192566,15.26485512
01.01.2022 16:50:00,14.7677807,14.7677807,17.68697257,17.14726258,16.36003036,15.87934162,15.55240622,15.26492636
01.01.2022 17:00:00,14.70811701,14.70811701,17.64339822,17.1464785,16.3651843,15.88151332,15.55290513,15.26500199
01.01.2022 17:10:00,14.65622582,14.65622582,17.59958703,17.14509979,16.37023563,15.88371439,15.55342251,15.26508218
01.01.2022 17:20:00,14.61223609,14.61223609,17.55563393,17.14313324,16.37517785,15.88594297,15.55395844,15.26516707
01.01.2022 17:30:00,14.57626167,14.57626167,17.51163427,17.14058682,16.38000466,15.88819712,15.55451299,15.26525683
01.01.2022 17:40:00,14.54840105,14.54840105,17.46768366,17.13746972,16.38470997,15.89047487,15.5550862,15.26535162
01.01.2022 17:50:00,14.52873718,14.52873718,17.42387779,17.1337923,16.38928792,15.89277417,15.55567807,15.26545157
01.01.2022 18:00:00,14.51733732,14.51733732,17.38031219,17.12956611,16.3937329,15.89509296,15.55628859,15.26555686
01.01.2022 18:10:00,14.51425288,14.51425288,17.33708211,17.12480381,16.39803955,15.89742908,15.55691772,15.26566763
01.01.2022 18:20:00,14.51951935,14.51951935,17.29428229,17.11951918,16.40220279,15.89978038,15.55756537,15.26578401
01.01.2022 18:30:00,14.53315622,14.53315622,17.25200679,17.1137271,16.40621778,15.90214466,15.55823144,15.26590617
01.01.2022 18:40:00,14.55516696,14.55516696,17.21034882,17.10744351,16.41008002,15.90451967,15.55891581,15.26603423
01.01.2022 18:50:00,14.58553896,14.58553896,17.16940051,17.10068537,16.41378528,15.90690316,15.55961831,15.26616834
01.01.2022 19:00:00,14.62424362,14.62424362,17.1292528,17.09347064,16.41732963,15.90929285,15.56033876,15.26630863
01.01.2022 19:10:00,14.67123634,14.67123634,17.08999522,17.08581825,16.42070947,15.91168642,15.56107695,15.26645522
01.01.2022 19:20:00,14.72645666,14.72645666,17.05171571,17.07774803,16.42392154,15.91408158,15.56183263,15.26660824
01.01.2022 19:30:00,14.78982833,14.78982833,17.01450046,17.06928073,16.42696288,15.916476,15.56260552,15.2667678
01.01.2022 19:40:00,14.86125948,14.86125948,16.97843377,17.06043791,16.42983089,15.91886736,15.56339533,15.26693402
